Feature,Importance
PM₁₀ (lag=3),0.09763571
Wind Direction (lag=2),0.14136884
Wind Direction (lag=3),0.14222378
Visibility (lag=2),0.16350256
NO₂ (lag=2),0.1738453
PM₁₀ (lag=2),0.18470103
Humidity (lag=2),0.1959943
PM₂.₅ (lag=2),0.20836349
Wind Speed (lag=1),0.23774858
Temperature (lag=3),0.28092846
PM₂.₅ (lag=3),0.285651
Wind Speed (lag=3),0.3079201
Wind Speed (lag=2),0.3461746
Humidity (lag=3),0.3769183
NO₂ (lag=3),0.38021353
Temperature (lag=2),0.4023266
Precipitation (lag=2),0.41351405
Precipitation (lag=3),0.44572872
Precipitation (lag=1),0.49500573
Visibility (lag=3),0.5048162
PM₁₀ (lag=1),0.60146403
Visibility (lag=1),0.8109572
Wind Direction (lag=1),1.2373743
O₃ (lag=2),1.464834
NO₂ (lag=1),1.5732919
Solar Radiation (lag=3),1.6795981
Solar Radiation (lag=2),1.8265718
O₃ (lag=3),2.3959482
Solar Radiation (lag=1),3.456865
Humidity (lag=1),3.475367
PM₂.₅ (lag=1),3.5815392
O₃ (lag=1),5.63263
Temperature (lag=1),5.766941
