,pm25,pm10,o3,no2,temp,humidity,visibility,solarradiation,precip,windspeed,winddir
0,24.0,6.0,16.0,5.0,11.8,83.2,14.7,203.2,15.9,23.0,265.1
1,26.0,16.0,27.0,3.0,14.7,83.1,20.4,78.8,8.2,28.4,227.0
2,15.0,14.0,25.0,3.0,16.4,82.1,21.5,186.1,2.4,22.3,308.3
3,17.0,12.0,31.0,9.0,19.5,76.1,37.4,203.7,0.8,22.3,179.0
4,25.0,13.0,34.0,3.0,21.0,81.9,23.3,191.1,0.0,14.8,129.0
5,60.0,15.0,39.0,5.0,22.2,66.8,26.4,201.3,24.1,18.4,94.2
6,45.0,37.0,43.0,4.0,21.4,79.3,20.3,167.8,0.0,22.3,49.4
7,24.0,23.0,46.0,3.0,18.3,92.1,10.5,106.7,1.5,11.2,163.8
8,33.0,10.0,22.0,6.0,20.1,89.5,10.4,97.3,4.5,18.0,205.2
9,37.0,19.0,21.0,6.0,23.1,76.7,27.2,222.2,0.0,11.2,217.0
10,45.0,24.0,43.0,5.0,21.8,71.6,32.9,223.7,0.0,18.4,82.1
11,41.0,18.0,44.0,2.0,18.5,71.2,30.3,225.2,0.0,25.9,50.8
12,32.0,16.0,31.0,1.0,17.6,76.5,25.1,198.4,0.0,18.4,26.9
13,44.0,12.0,34.0,3.0,19.7,80.9,21.1,223.8,0.0,14.8,276.3
14,57.0,21.0,37.0,8.0,20.3,75.9,27.6,238.8,0.0,14.8,137.2
15,46.0,24.0,51.0,7.0,17.3,76.9,22.4,233.0,0.0,14.8,148.2
16,33.0,20.0,43.0,6.0,16.9,74.3,40.2,197.4,0.0,21.6,211.1
17,36.0,15.0,31.0,9.0,16.7,73.3,40.6,239.2,0.4,22.3,226.4
18,18.0,12.0,27.0,10.0,18.8,84.8,35.5,188.3,7.7,31.7,193.2
19,22.0,15.0,28.0,7.0,19.5,71.6,37.3,133.3,2.0,31.7,216.2
20,29.0,14.0,30.0,3.0,18.3,65.6,40.0,198.0,0.0,29.5,208.6
21,21.0,18.0,33.0,4.0,16.2,70.7,39.2,241.6,1.3,22.3,252.5
22,47.0,13.0,28.0,2.0,18.1,82.6,18.8,153.0,10.8,18.4,187.8
23,39.0,19.0,30.0,5.0,16.6,75.0,22.8,260.8,0.0,14.8,171.4
24,40.0,17.0,38.0,5.0,17.4,78.4,39.7,199.9,0.0,18.4,328.3
25,20.0,14.0,38.0,3.0,18.5,74.9,36.8,262.3,0.0,11.2,25.2
26,10.0,12.0,38.0,2.0,19.5,88.9,23.1,53.2,9.3,18.4,222.5
27,32.0,12.0,19.0,3.0,21.2,77.7,22.1,227.6,0.0,22.3,225.2
28,27.0,18.0,31.0,4.0,21.0,88.5,16.2,160.0,4.4,11.2,291.6
29,37.0,20.0,18.0,8.0,25.0,75.1,31.0,238.6,0.2,14.8,264.3
30,33.0,27.0,38.0,6.0,23.9,64.6,24.1,277.0,0.0,18.0,103.3
31,20.0,17.0,79.0,3.0,21.8,69.9,32.9,280.5,0.0,14.8,44.5
32,24.0,18.0,38.0,3.0,20.0,71.2,30.1,276.4,0.0,18.4,238.7
33,17.0,18.0,32.0,3.0,20.7,76.4,34.5,151.8,1.2,25.9,235.2
34,24.0,13.0,32.0,2.0,20.2,65.2,36.6,277.4,0.0,14.8,219.9
35,15.0,16.0,40.0,3.0,19.9,70.2,36.7,229.0,2.6,18.0,272.0
36,35.0,14.0,34.0,3.0,21.0,71.9,28.9,243.9,0.0,14.8,169.0
37,39.0,20.0,47.0,4.0,19.5,73.0,32.1,282.3,0.0,14.8,201.2
38,19.0,17.0,35.0,3.0,18.3,74.0,34.2,155.6,0.6,14.8,303.8
39,40.0,13.0,28.0,1.0,19.9,82.5,24.1,214.5,0.4,18.4,233.6
40,32.0,23.0,28.0,3.0,20.2,73.2,31.5,290.6,0.0,11.2,64.8
41,28.0,14.0,46.0,2.0,19.8,78.5,37.4,144.0,0.0,11.2,44.2
42,33.0,12.0,31.0,2.0,21.6,66.7,42.5,178.7,0.0,14.8,38.5
