date,o3,no2,pm25 - day 1,pm10 - day 1,o3 - day 1,no2 - day 1,temp - day 1,humidity - day 1,visibility - day 1,solarradiation - day 1,precip - day 1,windspeed - day 1,winddir - day 1,pm25 - day 2,pm10 - day 2,o3 - day 2,no2 - day 2,temp - day 2,humidity - day 2,visibility - day 2,solarradiation - day 2,precip - day 2,windspeed - day 2,winddir - day 2,pm25 - day 3,pm10 - day 3,o3 - day 3,no2 - day 3,temp - day 3,humidity - day 3,visibility - day 3,solarradiation - day 3,precip - day 3,windspeed - day 3,winddir - day 3,o3 + day 1,no2 + day 1,o3 + day 2,no2 + day 2
09/09/2024,25.0,3.0,17.0,12.0,31.0,9.0,19.5,76.1,37.4,203.7,0.8,22.3,179.0,25.0,13.0,34.0,3.0,21.0,81.9,23.3,191.1,0.0,14.8,129.0,60.0,15.0,39.0,5.0,22.2,66.8,26.4,201.3,24.1,18.4,94.2,27.0,3.0,16.0,5.0
08/09/2024,31.0,9.0,25.0,13.0,34.0,3.0,21.0,81.9,23.3,191.1,0.0,14.8,129.0,60.0,15.0,39.0,5.0,22.2,66.8,26.4,201.3,24.1,18.4,94.2,45.0,37.0,43.0,4.0,21.4,79.3,20.3,167.8,0.0,22.3,49.4,25.0,3.0,27.0,3.0
07/09/2024,34.0,3.0,60.0,15.0,39.0,5.0,22.2,66.8,26.4,201.3,24.1,18.4,94.2,45.0,37.0,43.0,4.0,21.4,79.3,20.3,167.8,0.0,22.3,49.4,24.0,23.0,46.0,3.0,18.3,92.1,10.5,106.7,1.5,11.2,163.8,31.0,9.0,25.0,3.0
06/09/2024,39.0,5.0,45.0,37.0,43.0,4.0,21.4,79.3,20.3,167.8,0.0,22.3,49.4,24.0,23.0,46.0,3.0,18.3,92.1,10.5,106.7,1.5,11.2,163.8,33.0,10.0,22.0,6.0,20.1,89.5,10.4,97.3,4.5,18.0,205.2,34.0,3.0,31.0,9.0
05/09/2024,43.0,4.0,24.0,23.0,46.0,3.0,18.3,92.1,10.5,106.7,1.5,11.2,163.8,33.0,10.0,22.0,6.0,20.1,89.5,10.4,97.3,4.5,18.0,205.2,37.0,19.0,21.0,6.0,23.1,76.7,27.2,222.2,0.0,11.2,217.0,39.0,5.0,34.0,3.0
04/09/2024,46.0,3.0,33.0,10.0,22.0,6.0,20.1,89.5,10.4,97.3,4.5,18.0,205.2,37.0,19.0,21.0,6.0,23.1,76.7,27.2,222.2,0.0,11.2,217.0,45.0,24.0,43.0,5.0,21.8,71.6,32.9,223.7,0.0,18.4,82.1,43.0,4.0,39.0,5.0
03/09/2024,22.0,6.0,37.0,19.0,21.0,6.0,23.1,76.7,27.2,222.2,0.0,11.2,217.0,45.0,24.0,43.0,5.0,21.8,71.6,32.9,223.7,0.0,18.4,82.1,41.0,18.0,44.0,2.0,18.5,71.2,30.3,225.2,0.0,25.9,50.8,46.0,3.0,43.0,4.0
02/09/2024,21.0,6.0,45.0,24.0,43.0,5.0,21.8,71.6,32.9,223.7,0.0,18.4,82.1,41.0,18.0,44.0,2.0,18.5,71.2,30.3,225.2,0.0,25.9,50.8,32.0,16.0,31.0,1.0,17.6,76.5,25.1,198.4,0.0,18.4,26.9,22.0,6.0,46.0,3.0
01/09/2024,43.0,5.0,41.0,18.0,44.0,2.0,18.5,71.2,30.3,225.2,0.0,25.9,50.8,32.0,16.0,31.0,1.0,17.6,76.5,25.1,198.4,0.0,18.4,26.9,44.0,12.0,34.0,3.0,19.7,80.9,21.1,223.8,0.0,14.8,276.3,21.0,6.0,22.0,6.0
31/08/2024,44.0,2.0,32.0,16.0,31.0,1.0,17.6,76.5,25.1,198.4,0.0,18.4,26.9,44.0,12.0,34.0,3.0,19.7,80.9,21.1,223.8,0.0,14.8,276.3,57.0,21.0,37.0,8.0,20.3,75.9,27.6,238.8,0.0,14.8,137.2,43.0,5.0,21.0,6.0
