date,no2,o3,no2 + day 1,o3 + day 1,no2 + day 2,o3 + day 2
01/02/2014,8.0,18.0,6.0,22.0,21.0,17.0
02/02/2014,17.0,11.0,8.0,18.0,6.0,22.0
03/02/2014,11.0,8.0,17.0,11.0,8.0,18.0
04/02/2014,8.0,23.0,11.0,8.0,17.0,11.0
05/02/2014,7.0,24.0,8.0,23.0,11.0,8.0
06/02/2014,9.0,17.0,7.0,24.0,8.0,23.0
07/02/2014,6.0,24.0,9.0,17.0,7.0,24.0
08/02/2014,3.0,27.0,6.0,24.0,9.0,17.0
09/02/2014,16.0,18.0,3.0,27.0,6.0,24.0
10/02/2014,12.0,21.0,16.0,18.0,3.0,27.0
11/02/2014,9.0,24.0,12.0,21.0,16.0,18.0
12/02/2014,11.0,25.0,9.0,24.0,12.0,21.0
13/02/2014,11.0,17.0,11.0,25.0,9.0,24.0
14/02/2014,2.0,28.0,11.0,17.0,11.0,25.0
15/02/2014,6.0,21.0,2.0,28.0,11.0,17.0
16/02/2014,18.0,12.0,6.0,21.0,2.0,28.0
17/02/2014,19.0,7.0,18.0,12.0,6.0,21.0
18/02/2014,17.0,9.0,19.0,7.0,18.0,12.0
19/02/2014,14.0,13.0,17.0,9.0,19.0,7.0
20/02/2014,8.0,24.0,14.0,13.0,17.0,9.0
21/02/2014,9.0,22.0,8.0,24.0,14.0,13.0
22/02/2014,6.0,22.0,9.0,22.0,8.0,24.0
23/02/2014,12.0,17.0,6.0,22.0,9.0,22.0
24/02/2014,11.0,23.0,12.0,17.0,6.0,22.0
25/02/2014,15.0,18.0,11.0,23.0,12.0,17.0
26/02/2014,16.0,16.0,15.0,18.0,11.0,23.0
27/02/2014,16.0,16.0,16.0,16.0,15.0,18.0
28/02/2014,9.0,17.0,16.0,16.0,16.0,16.0
01/03/2014,8.0,26.0,9.0,17.0,16.0,16.0
02/03/2014,14.0,20.0,8.0,26.0,9.0,17.0
03/03/2014,19.0,15.0,14.0,20.0,8.0,26.0
04/03/2014,26.0,20.0,19.0,15.0,14.0,20.0
05/03/2014,29.0,10.0,26.0,20.0,19.0,15.0
06/03/2014,21.0,18.0,29.0,10.0,26.0,20.0
07/03/2014,13.0,17.0,21.0,18.0,29.0,10.0
08/03/2014,13.0,30.0,13.0,17.0,21.0,18.0
09/03/2014,17.0,27.0,13.0,30.0,13.0,17.0
10/03/2014,6.0,22.0,17.0,27.0,13.0,30.0
11/03/2014,18.0,18.0,6.0,22.0,17.0,27.0
12/03/2014,20.0,22.0,18.0,18.0,6.0,22.0
13/03/2014,15.0,18.0,20.0,22.0,18.0,18.0
14/03/2014,6.0,29.0,15.0,18.0,20.0,22.0
15/03/2014,7.0,25.0,6.0,29.0,15.0,18.0
16/03/2014,10.0,20.0,7.0,25.0,6.0,29.0
17/03/2014,10.0,21.0,10.0,20.0,7.0,25.0
18/03/2014,9.0,25.0,10.0,21.0,10.0,20.0
19/03/2014,11.0,30.0,9.0,25.0,10.0,21.0
20/03/2014,11.0,27.0,11.0,30.0,9.0,25.0
